Multi Channel DataManager 1.14.8.22147 ASCII Export
File version: 1
Stream label: Spike Detector (1);Spike Detector; Spike Timestamps1
Stream type: TimeStamp
Data subtype: NeuralSpike

47 (ID=0) [µs],48 (ID=1) [µs],46 (ID=2) [µs],45 (ID=3) [µs],38 (ID=4) [µs],37 (ID=5) [µs],28 (ID=6) [µs],36 (ID=7) [µs],27 (ID=8) [µs],17 (ID=9) [µs],26 (ID=10) [µs],16 (ID=11) [µs],35 (ID=12) [µs],25 (ID=13) [µs],15 (ID=14) [µs],14 (ID=15) [µs],24 (ID=16) [µs],34 (ID=17) [µs],13 (ID=18) [µs],23 (ID=19) [µs],12 (ID=20) [µs],22 (ID=21) [µs],33 (ID=22) [µs],21 (ID=23) [µs],32 (ID=24) [µs],31 (ID=25) [µs],44 (ID=26) [µs],43 (ID=27) [µs],41 (ID=28) [µs],42 (ID=29) [µs],52 (ID=30) [µs],51 (ID=31) [µs],53 (ID=32) [µs],54 (ID=33) [µs],61 (ID=34) [µs],62 (ID=35) [µs],71 (ID=36) [µs],63 (ID=37) [µs],72 (ID=38) [µs],82 (ID=39) [µs],73 (ID=40) [µs],83 (ID=41) [µs],64 (ID=42) [µs],74 (ID=43) [µs],84 (ID=44) [µs],85 (ID=45) [µs],75 (ID=46) [µs],65 (ID=47) [µs],86 (ID=48) [µs],76 (ID=49) [µs],87 (ID=50) [µs],77 (ID=51) [µs],66 (ID=52) [µs],78 (ID=53) [µs],67 (ID=54) [µs],68 (ID=55) [µs],55 (ID=56) [µs],56 (ID=57) [µs],58 (ID=58) [µs],57 (ID=59) [µs]
,,163438880,,,24960400,,,,,41864120,,,,,,,,186743720,,,,,99663360,,,17366200,16808960,,1913680,,10018360,,,,18150600,,,,,,,,,,,,,17072160,17872520,,,,10013320,564912080,,,,,
,,177080200,,,24981920,,,,,42240200,,,,,,,,186904480,,,,,100323560,,,17370400,16827520,,1938760,,10138920,,,,18433880,,,,,,,,,,,,,17171240,18151520,,,,10039000,592322880,,,,,
,,186682280,,,25005360,,,,,42660240,,,,,,,,195716760,,,,,100660160,,,17540800,16851200,,2091720,,10151040,,,,18594040,,,,,,,,,,,,,17262000,18656560,,,,10168320,,,,,,
,,195643840,,,25230760,,,,,42765160,,,,,,,,204398120,,,,,108614400,,,17644640,17359800,,2112560,,10361920,,,,24765440,,,,,,,,,,,,,18065720,25004080,,,,10253720,,,,,,
,,204364640,,,33997960,,,,,51983520,,,,,,,,204597160,,,,,108910040,,,17782080,18252280,,2227720,,10541000,,,,24854760,,,,,,,,,,,,,18178280,25065280,,,,10729080,,,,,,
,,214269720,,,34018440,,,,,64595320,,,,,,,,232521720,,,,,119203840,,,17933400,18378560,,2232680,,16877720,,,,24958520,,,,,,,,,,,,,24905640,25463640,,,,11042120,,,,,,
,,223567320,,,34038040,,,,,65169600,,,,,,,,233039400,,,,,120103280,,,18018800,24786200,,2404360,,16904680,,,,25549800,,,,,,,,,,,,,24915840,25779800,,,,11104040,,,,,,
,,223598160,,,34052400,,,,,75779560,,,,,,,,233470840,,,,,128719240,,,18022200,24801280,,2536000,,16959800,,,,25777440,,,,,,,,,,,,,25069000,26164640,,,,11160800,,,,,,
,,232478240,,,34598360,,,,,75852600,,,,,,,,243498800,,,,,128749440,,,24784440,24870440,,2539640,,17025240,,,,26116160,,,,,,,,,,,,,25242680,34351040,,,,16817760,,,,,,
,,243469080,,,41763080,,,,,76347280,,,,,,,,256845560,,,,,128952200,,,24800360,26136280,,2671520,,17028760,,,,26209960,,,,,,,,,,,,,25479040,34438400,,,,16895960,,,,,,
,,244038640,,,41781200,,,,,76452720,,,,,,,,257450480,,,,,137409440,,,24835560,26206960,,2676520,,17152720,,,,26265160,,,,,,,,,,,,,33988440,34542640,,,,16920000,,,,,,
,,256829120,,,41797160,,,,,76488760,,,,,,,,265879680,,,,,137452320,,,24865040,26266920,,9105240,,17436160,,,,33893760,,,,,,,,,,,,,33991760,35114720,,,,17070200,,,,,,
,,265845000,,,41812680,,,,,77237680,,,,,,,,265903880,,,,,137607960,,,25546680,33893120,,9111720,,17447680,,,,34170840,,,,,,,,,,,,,33996760,35354640,,,,17265400,,,,,,
,,278455560,,,41863840,,,,,91063280,,,,,,,,278706200,,,,,137675800,,,25658760,33907360,,9117800,,17659280,,,,34541320,,,,,,,,,,,,,34008960,41620040,,,,17809880,,,,,,
,,286495520,,,41936200,,,,,91086840,,,,,,,,286563720,,,,,137886360,,,33891960,33935760,,9138040,,17667080,,,,34708800,,,,,,,,,,,,,34117880,41855640,,,,17943480,,,,,,
,,286515280,,,42082120,,,,,91163200,,,,,,,,286572880,,,,,147774440,,,33917120,34011360,,9161120,,17888040,,,,35836400,,,,,,,,,,,,,34286000,42255840,,,,18049520,,,,,,
,,301311800,,,42376360,,,,,91245120,,,,,,,,286595480,,,,,148130600,,,33960000,35633520,,9179760,,18054480,,,,41580240,,,,,,,,,,,,,34359640,42346520,,,,18150760,,,,,,
,,315267640,,,42488880,,,,,91895480,,,,,,,,301339240,,,,,163492600,,,34005520,41597760,,9237000,,18149640,,,,41653800,,,,,,,,,,,,,34749800,42613920,,,,18420560,,,,,,
,,318025120,,,42763520,,,,,100790800,,,,,,,,301859200,,,,,164410280,,,34061440,41629680,,9296240,,18163120,,,,41699280,,,,,,,,,,,,,34894160,42726480,,,,18654680,,,,,,
,,334795480,,,51953880,,,,,101320600,,,,,,,,315273840,,,,,164797640,,,34884080,41680880,,9303720,,24859880,,,,42158560,,,,,,,,,,,,,35107280,42897920,,,,24801600,,,,,,
,,335765320,,,51973200,,,,,108154840,,,,,,,,334813840,,,,,177084560,,,35244040,41697880,,9379240,,24888760,,,,42249320,,,,,,,,,,,,,35205200,43546520,,,,24810320,,,,,,
,,344019240,,,51994240,,,,,108169800,,,,,,,,334826440,,,,,177104160,,,35508880,42362440,,9385920,,24927560,,,,42448200,,,,,,,,,,,,,35290360,52015880,,,,24821600,,,,,,
,,360676880,,,52014560,,,,,108246080,,,,,,,,336413320,,,,,177670800,,,35628280,42599680,,9446400,,25008400,,,,42785960,,,,,,,,,,,,,35871120,52065480,,,,25133400,,,,,,
,,360686240,,,52464680,,,,,108429160,,,,,,,,344220840,,,,,186715760,,,35845480,43030040,,9458200,,25067480,,,,42849360,,,,,,,,,,,,,41733840,52652840,,,,25216160,,,,,,
,,366338960,,,64398320,,,,,108851960,,,,,,,,393669920,,,,,187103920,,,41594920,43531760,,9517120,,25072000,,,,43019680,,,,,,,,,,,,,41744640,53116400,,,,25314040,,,,,,
,,383234080,,,64420080,,,,,109059560,,,,,,,,393887000,,,,,195690760,,,41598160,51850120,,9536320,,25316400,,,,43101320,,,,,,,,,,,,,41750720,53292360,,,,25472320,,,,,,
,,383591960,,,64433960,,,,,110101600,,,,,,,,394023160,,,,,195711120,,,41731760,51861800,,9611320,,25392360,,,,51834120,,,,,,,,,,,,,41926880,64418080,,,,25551320,,,,,,
,,389820880,,,64522720,,,,,119220920,,,,,,,,397474360,,,,,204411840,,,41805280,51871200,,9619320,,25395840,,,,51959440,,,,,,,,,,,,,42001080,64444600,,,,25965440,,,,,,
,,397475920,,,64595840,,,,,119449680,,,,,,,,407284480,,,,,204432320,,,41884200,51901480,,9695280,,25563240,,,,52026560,,,,,,,,,,,,,42076160,64648920,,,,26171480,,,,,,
,,423665840,,,64764480,,,,,119610400,,,,,,,,423671040,,,,,205563040,,,42071880,64309960,,9719200,,25685720,,,,52281120,,,,,,,,,,,,,42171920,65138960,,,,26238440,,,,,,
,,435971240,,,65172840,,,,,119776280,,,,,,,,436744080,,,,,205978240,,,42248480,64383560,,9848360,,25801040,,,,52380240,,,,,,,,,,,,,42264760,65269200,,,,33972520,,,,,,
,,451765520,,,65327640,,,,,120176800,,,,,,,,451769680,,,,,206245800,,,42362840,75495960,,9857640,,25990720,,,,52548200,,,,,,,,,,,,,42377280,65582400,,,,34197120,,,,,,
